rho,z_maxima
17.900000000000002,16.900000303489026
17.900000000000002,16.900000296897357
17.900000000000002,16.900000273490527
17.900000000000002,16.90000027311205
17.900000000000002,16.90000024892924
17.900000000000002,16.900000250916946
17.900000000000002,16.900000231001748
17.900000000000002,16.900000229325737
17.900000000000002,16.900000217161008
17.900000000000002,16.900000207673276
17.900000000000002,16.900000203825915
17.900000000000002,16.900000184754738
18.0,17.00000071792839
18.0,17.00000068682337
18.0,17.000000656872547
18.0,17.000000618152296
18.0,17.000000603092186
18.0,17.00000058494543
18.0,17.00000055485024
18.0,17.000000524406722
18.0,17.000000507360927
18.0,17.00000048008442
18.0,17.00000046334678
18.0,17.000000441687337
18.0,17.00000042317069
18.0,17.000000406878698
18.0,17.000000385269782
18.0,17.00000037379817
18.0,17.000000349309783
18.0,17.000000342332914
18.0,17.000000316698777
18.0,17.00000031359242
18.0,17.00000029001155
18.0,17.00000028820749
18.0,17.000000270391652
18.0,17.000000265272515
18.0,17.000000255060414
18.0,17.000000243003225
18.1,17.100001005980037
18.1,17.100000970221753
18.1,17.100000935540567
18.1,17.100000901890713
18.1,17.100000869232257
18.1,17.10000083753054
18.1,17.100000806755617
18.1,17.100000776881554
18.1,17.10000074788582
18.1,17.100000719748618
18.1,17.10000069245237
18.1,17.100000665981135
18.1,17.10000064032021
18.1,17.100000615455727
18.1,17.100000591374314
18.1,17.10000056806286
18.1,17.100000545508284
18.1,17.100000525193327
18.1,17.100000505034767
18.1,17.100000492037246
18.1,17.10000047065985
18.1,17.100000452702037
18.1,17.100000433916524
18.1,17.100000417797425
18.1,17.100000400334817
18.1,17.100000386290983
18.1,17.10000036946
18.2,17.200001225122918
